Name,Binomial,Venomous status,Region,Body Shape,Scales,Color,Head Shape,Fangs,Habitat,Recommended Antivenom,About This Snake
Hill Stream Snake,Opisthotropis maculosa,0,Arunachal Pradesh; Meghalaya; Nagaland; Sikkim,Compact,Rough,Darkolive,Blunt,Minute,Streams,Not Applicable,A freshwater snake specialized for life around rocky hill stream environments.
Monsoon Snake,Amphiesma stolatum,0,Assam; Bihar; West Bengal; Kerala; Tamil Nadu,Slim,Keeled,Olivebrown,Rounded,Tiny,Wetlands,Not Applicable,A small non-venomous snake frequently active during rainy monsoon conditions.
Valley Snake,Hebius venningi,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Slender,Keeled,Olivegray,Rounded,Tiny,Valleys,Not Applicable,A hill-region snake commonly inhabiting cool moist valleys and forest edges.
Forest Marsh Snake,Xenochrophis cerasogaster,0,Assam; West Bengal; Odisha; Bihar,Flexible,Glossy,Darkbrown,Narrow,Small,Marshes,Not Applicable,A semi-aquatic snake adapted to swampy forests and marshland ecosystems.
Small-eyed Snake,Sibynophis subpunctatus,0,Kerala; Karnataka; Tamil Nadu,Compact,Smooth,Graybrown,Blunt,Minute,Leaflitter,Not Applicable,A secretive harmless snake recognized by its relatively small eye size.
Long-snouted Snake,Ahaetulla oxyrhyncha,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Threadlike,Satin,Leafgreen,Longsnouted,Rearward,Canopies,Not Applicable,An arboreal vine snake distinguished by its extended pointed snout structure.
Brown Marsh Snake,Enhydris enhydris,0,Assam; West Bengal; Kerala; Odisha,Elongated,Polished,Brown,Rounded,Tiny,Swamps,Not Applicable,A harmless aquatic snake frequently inhabiting marshes and muddy freshwater habitats.
Dark Vine Snake,Ahaetulla pulverulenta,0,Kerala; Karnataka; Tamil Nadu,Threadlike,Smooth,Darkbrown,Pointed,Rearward,Canopies,Not Applicable,A slender arboreal snake camouflaged effectively among dark forest branches and vines.
Woodland Keelback,Hebius xenura,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Flexible,Keeled,Olivegreen,Rounded,Tiny,Woodlands,Not Applicable,A harmless keelback commonly inhabiting moist woodland streams and forest edges.
Grass Keelback,Amphiesma stolatum,0,Assam; West Bengal; Odisha; Tamil Nadu,Slim,Striped,Grassgreen,Blunt,Minute,Grasslands,Not Applicable,A small active snake frequently moving through grassy fields and wetlands.
Hill Rat Snake,Elaphe hodgsonii,0,Uttarakhand; Himachal Pradesh; Sikkim; Arunachal Pradesh,Lengthy,Rough,Browngray,Narrow,Small,Hillsides,Not Applicable,A cool-region rat snake adapted to rocky hill forests and valleys.
Assam Cat Snake,Boiga gokool,0,Assam; Nagaland; Meghalaya; Arunachal Pradesh,Lean,Glossy,Olivebrown,Triangular,Rearfanged,Rainforests,Not Applicable,A nocturnal arboreal snake commonly found in humid northeastern forest habitats.
Himalayan Bronzeback,Dendrelaphis subocularis,0,Arunachal Pradesh; Sikkim; Meghalaya; Nagaland,Slender,Glossy,Bronzegreen,Pointed,Small,Mountains,Not Applicable,An agile arboreal snake commonly inhabiting cool Himalayan forest environments.
Indian Cliff Keelback,Hebius platyceps,0,Uttarakhand; Himachal Pradesh; Sikkim,Flexible,Keeled,Grayolive,Flattened,Tiny,Rocklands,Not Applicable,A harmless hill snake adapted to rocky cliffs and mountain streams.
Forest Wolf Snake,Lycodon laoensis,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Compact,Satin,Darkbrown,Blunt,Sharp,Rainforests,Not Applicable,A nocturnal forest snake commonly hidden beneath logs and forest debris.
Bamboo Pit Snake,Trimeresurus gramineus,1,Kerala; Karnataka; Tamil Nadu,Lean,Matte,Green,Broad,Curved,Bamboo,Not Applicable,A venomous arboreal pit viper frequently resting among bamboo vegetation.
Green Forest Pit Snake,Trimeresurus erythrurus,1,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Slender,Granular,Emerald,Triangular,Hollow,Forests,Not Applicable,A green venomous pit viper well-camouflaged within dense forest foliage.
Andaman Wolf Snake,Lycodon hypsirhinoides,0,Andaman Islands,Compact,Glossy,Darkolive,Flattened,Sharp,Tropicalforests,Not Applicable,An island wolf snake commonly inhabiting humid tropical forest environments of the Andamans.
Nicobar Wolf Snake,Lycodon tiwarii,0,Nicobar Islands,Slim,Satin,Graybrown,Blunt,Tiny,Woodlands,Not Applicable,A rare endemic wolf snake adapted to dense island woodland habitats.
Indian Reed Snake,Calamaria indica,0,Assam; Arunachal Pradesh; Meghalaya; Nagaland,Threadlike,Smooth,Brownish,Rounded,Minute,Reedbeds,Not Applicable,A tiny secretive snake usually hidden among reeds and moist vegetation.
Black Marsh Snake,Enhydris enhydris,0,West Bengal; Odisha; Assam; Kerala,Flexible,Polished,Black,Narrow,Small,Marshes,Not Applicable,A harmless aquatic snake commonly found in swampy marshland habitats.
Grey Vine Snake,Ahaetulla pulverulenta,0,Kerala; Karnataka; Tamil Nadu,Whiplike,Satin,Gray,Pointed,Rearward,Canopies,Not Applicable,A slender arboreal snake camouflaged among dry grayish forest branches.
Slender Cat Snake,Boiga multifasciata,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Thin,Glossy,Graybrown,Triangular,Rearfanged,Woodlands,Not Applicable,A nocturnal climbing snake commonly found within cool hilly forest habitats.
Yellow Vine Snake,Ahaetulla nasuta,0,Kerala; Karnataka; Tamil Nadu; Goa,Threadlike,Smooth,Yellowgreen,Pointed,Rearward,Canopies,Not Applicable,A slender arboreal snake perfectly camouflaged among yellow-green foliage and vines.
Wetland Keelback,Fowlea piscator,0,Assam; Bihar; West Bengal; Kerala; Tamil Nadu,Flexible,Keeled,Olivebrown,Rounded,Sharp,Wetlands,Not Applicable,A common freshwater snake frequently hunting fish and frogs near wetlands.
Woodland Cat Snake,Boiga trigonata,0,Rajasthan; Gujarat; Maharashtra; Karnataka,Lean,Satin,Brownish,Oval,Curved,Woodlands,Not Applicable,A nocturnal tree snake often hiding within hollow trunks and dense shrubs.
Black Tree Snake,Dendrelaphis tristis,0,Kerala; Karnataka; Tamil Nadu; Maharashtra,Slender,Polished,Black,Rounded,Tiny,Trees,Not Applicable,A fast-moving arboreal snake active during daytime among forest branches and trees.
Mangrove Snake,Boiga dendrophila,1,Andaman Islands; Nicobar Islands,Slender,Glossy,Blackyellow,Triangular,Rearfanged,Mangroves,Not Applicable,A striking arboreal snake commonly inhabiting coastal mangrove and tropical forest habitats.
Mud Burrowing Snake,Grypotyphlops acutus,0,Tamil Nadu; Kerala; Karnataka; Andhra Pradesh,Cylindrical,Smooth,Pinkbrown,Beaked,Toothless,Mudflats,Not Applicable,A fossorial snake specialized for burrowing through soft muddy underground habitats.
Eastern Ground Snake,Smithophis atemporalis,0,Assam; Arunachal Pradesh; Nagaland,Compact,Textured,Darkbrown,Rounded,Minute,Forestfloors,Not Applicable,A secretive terrestrial snake inhabiting humid eastern forest floor ecosystems.
Western Ground Snake,Xylophis perroteti,0,Kerala; Karnataka; Tamil Nadu,Short,Velvety,Oliveblack,Blunt,Tiny,Leaflitter,Not Applicable,A tiny forest-floor snake endemic to the Western Ghats region.
Dry Forest Snake,Psammophis condanarus,0,Rajasthan; Gujarat; Maharashtra; Andhra Pradesh,Lean,Polished,Sandy,Narrow,Sharp,Dryforests,Not Applicable,A swift snake adapted to dry woodland and scrub forest habitats.
Highland Pit Snake,Trimeresurus monticola,1,Sikkim; Arunachal Pradesh; Uttarakhand; Himachal Pradesh,Robust,Granular,Olivegreen,Triangular,Hollow,Highlands,Not Applicable,A venomous mountain pit viper adapted to cool high-altitude forest habitats.
Small Forest Snake,Xylophis captaini,0,Kerala; Tamil Nadu,Compact,Smooth,Darkbrown,Blunt,Tiny,Forests,Not Applicable,A tiny secretive snake commonly hidden beneath moist forest leaf litter.
Broad-headed Snake,Platyceps rhodorachis,0,Rajasthan; Gujarat; Maharashtra,Slender,Rough,Graybrown,Broadheaded,Minute,Rocklands,Not Applicable,A swift ground snake commonly inhabiting rocky dry and semi-arid regions.
Indian Hill Snake,Hebius platyceps,0,Uttarakhand; Himachal Pradesh; Sikkim,Flexible,Keeled,Olivegray,Rounded,Tiny,Hillsides,Not Applicable,A harmless hill snake frequently found near rocky mountain streams and forests.
Mountain Reed Snake,Calamaria pavimentata,0,Arunachal Pradesh; Meghalaya; Nagaland,Threadlike,Glossy,Brownish,Pointed,Small,Highlandforests,Not Applicable,A secretive small snake commonly inhabiting moist mountainous forest regions.
Deep Forest Snake,Boiga forsteni,0,Assam; Odisha; Kerala; Karnataka; Tamil Nadu,Slender,Glossy,Darkolive,Triangular,Rearfanged,Rainforests,Not Applicable,A nocturnal arboreal snake commonly inhabiting dense undisturbed tropical forests.
Indian Stream Snake,Opisthotropis maculosa,0,Arunachal Pradesh; Meghalaya; Nagaland; Sikkim,Flexible,Rough,Graygreen,Blunt,Minute,Streams,Not Applicable,A freshwater snake specialized for life near rocky flowing hill streams.
Spotted Tree Snake,Dendrelaphis punctulatus,0,Not Naturally Found in India,Lean,Spotted,Greenbrown,Rounded,Tiny,Canopies,Not Applicable,A swift arboreal snake displaying spotted patterns across its slender body.
Red Forest Snake,Oreocryptophis porphyraceus,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Compact,Satin,Red,Pointed,Small,Cloudforests,Not Applicable,A colorful mountain forest snake adapted to cool humid environments.
Narrow-striped Snake,Liopeltis calamaria,0,Kerala; Karnataka; Tamil Nadu; Maharashtra,Threadlike,Striped,Brownish,Narrow,Tiny,Grasslands,Not Applicable,A slender harmless snake recognized by thin longitudinal body stripes.
Indian Marsh Keelback,Fowlea piscator,0,Assam; Bihar; West Bengal; Kerala; Tamil Nadu,Flexible,Keeled,Olivebrown,Rounded,Sharp,Marshes,Not Applicable,A common freshwater keelback frequently found near marshes and shallow wetlands.
Green Marsh Snake,Xenochrophis cerasogaster,0,Assam; West Bengal; Odisha; Bihar,Slender,Glossy,Green,Narrow,Minute,Wetlands,Not Applicable,A semi-aquatic snake adapted to marshlands and slow-moving freshwater habitats.
Black Bamboo Snake,Oreocryptophis porphyraceus,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Compact,Satin,Black,Pointed,Small,Bamboo,Not Applicable,A mountain forest snake commonly associated with cool bamboo-covered habitats.
Grass Vine Snake,Ahaetulla nasuta,0,Kerala; Karnataka; Tamil Nadu; Maharashtra,Threadlike,Smooth,Grassgreen,Elongated,Rearward,Grasslands,Not Applicable,A slender arboreal snake camouflaged effectively among grassy vegetation and thin branches.
Rain Snake,Amphiesma stolatum,0,Assam; West Bengal; Odisha; Kerala; Tamil Nadu,Slim,Striped,Brownish,Blunt,Tiny,Rainforests,Not Applicable,A harmless small snake frequently active during rainy and humid weather conditions.
Forest Leaf Snake,Ahaetulla nasuta,0,Kerala; Karnataka; Tamil Nadu; Goa,Threadlike,Smooth,Leafgreen,Pointed,Rearward,Forests,Not Applicable,A slender arboreal snake perfectly camouflaged among forest leaves and branches.
Black Hill Snake,Hebius venningi,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Slender,Keeled,Blackish,Rounded,Tiny,Hillsides,Not Applicable,A cool-region hill snake commonly inhabiting moist forested mountain environments.
Long Forest Snake,Dendrelaphis tristis,0,Maharashtra; Karnataka; Kerala; Tamil Nadu,Elongated,Glossy,Bronzebrown,Oval,Small,Woodlands,Not Applicable,A swift arboreal snake active during daytime within tropical forest habitats.
Indian Water Keelback,Fowlea piscator,0,Assam; Bihar; Uttar Pradesh; Kerala; Tamil Nadu,Muscular,Checkered,Brown,Narrow,Sharp,Rivers,Not Applicable,A common freshwater snake frequently hunting fish and amphibians near water bodies.
Yellow Marsh Snake,Xenochrophis flavipunctatus,0,Assam; West Bengal; Odisha; Bihar,Flexible,Spotted,Yellowbrown,Blunt,Minute,Marshes,Not Applicable,A semi-aquatic snake recognized by yellow-toned markings across its marsh-adapted body.
Southern Bamboo Snake,Trimeresurus gramineus,1,Kerala; Karnataka; Tamil Nadu,Lean,Matte,Green,Broad,Curved,Bamboo,Not Applicable,A venomous green pit viper commonly resting among southern bamboo forest vegetation.
Coastal Ground Snake,Smithophis bicolor,0,Odisha; Andhra Pradesh; Tamil Nadu; Kerala,Compact,Smooth,Browngray,Rounded,Tiny,Coastlines,Not Applicable,A small terrestrial snake adapted to humid coastal ground habitats and scrub.
Indian Forest Snake,Boiga forsteni,0,Assam; Odisha; Kerala; Karnataka; Tamil Nadu,Slender,Glossy,Olivebrown,Triangular,Rearfanged,Rainforests,Not Applicable,A nocturnal arboreal snake commonly inhabiting dense Indian tropical forests.
Eastern Bamboo Snake,Oreocryptophis porphyraceus,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Flexible,Satin,Reddish,Pointed,Small,Bamboo,Not Applicable,A colorful mountain snake associated with cool eastern bamboo forest habitats.
Indian Reed Keelback,Hebius parallelus,0,Assam; Arunachal Pradesh; Nagaland,Slim,Keeled,Olivegreen,Blunt,Tiny,Reedbeds,Not Applicable,A harmless keelback commonly inhabiting moist reed-covered freshwater environments.
